candidate,mode,level,cases,mae,mred,rmse
joint_drop_6_no_round_lut,DIV,1,1000000,0.011857343540180516,0.011042424188428218,0.019369902232555414
scale_drop_8,DIV,1,1000000,0.011859065226232812,0.011043817911522315,0.01937347547203921
residual_drop_8,DIV,1,1000000,0.011856487036044751,0.011041751242608205,0.019368369723366547
joint_drop_8_no_round_lut,DIV,1,1000000,0.011857889442295167,0.011042880958585957,0.01937138318516344
scale_drop_10,DIV,1,1000000,0.011864814228676643,0.011048457998421047,0.019385759872213446
residual_drop_10,DIV,1,1000000,0.011854456613034971,0.011040153814598577,0.019365242337746648
joint_drop_10_no_round_lut,DIV,1,1000000,0.011860138467494764,0.011044736522370122,0.019377430300055693
scale_drop_12,DIV,1,1000000,0.011888421330826567,0.011067596034040996,0.019435197796787842
residual_drop_12,DIV,1,1000000,0.011846992542622121,0.011033712725592166,0.01935438215425177
joint_drop_12_no_round_lut,DIV,1,1000000,0.011870203961866421,0.011052538185451542,0.01940347226052062
scale_drop_14,DIV,1,1000000,0.011994147734223663,0.01115482275717457,0.019637649813685234
residual_drop_14,DIV,1,1000000,0.011828609720204428,0.011020006443594797,0.019315620235096597
joint_drop_14_no_round_lut,DIV,1,1000000,0.011929092845255321,0.011103292834772781,0.01951454066817594
scale_drop_16,DIV,1,1000000,0.012610644969013839,0.011684862047957652,0.020518611846473498
residual_drop_16,DIV,1,1000000,0.011924405486444738,0.011131496997676375,0.01926150944275401
joint_drop_16_no_round_lut,DIV,1,1000000,0.012444281395154428,0.011591400025165703,0.02009687360043694
baseline,DIV,2,1000000,0.008033066309143263,0.008354471768446715,0.009455439592255529
scale_drop_2,DIV,2,1000000,0.00803311114089604,0.008354514371131312,0.009455487350677848
residual_drop_2,DIV,2,1000000,0.008033061643053252,0.008354474116431046,0.00945543493072001
joint_drop_2_no_round_lut,DIV,2,1000000,0.008033051007761648,0.008354462500139574,0.00945542282914318
scale_drop_4,DIV,2,1000000,0.008033305297121273,0.00835470148326903,0.009455695293687201
residual_drop_4,DIV,2,1000000,0.008033043042661739,0.008354483277786196,0.009455416779211424
joint_drop_4_no_round_lut,DIV,2,1000000,0.008033209586472195,0.008354642188152626,0.009455594284026266
scale_drop_6,DIV,2,1000000,0.008034119588467179,0.008355496213347852,0.009456573925868891
residual_drop_6,DIV,2,1000000,0.008032971312412417,0.008354517773608542,0.009455353139167651
joint_drop_6_no_round_lut,DIV,2,1000000,0.0080338484200357,0.008355369318000986,0.009456296736631781
scale_drop_8,DIV,2,1000000,0.00803741459478886,0.00835871954833933,0.009460135845052488
residual_drop_8,DIV,2,1000000,0.008032676174170788,0.008354693104681706,0.00945503159474807
joint_drop_8_no_round_lut,DIV,2,1000000,0.008036433446082054,0.008358363315931079,0.009459088944391625
scale_drop_10,DIV,2,1000000,0.00805071878540494,0.00837172821851991,0.009474514528574623
residual_drop_10,DIV,2,1000000,0.008031525867875916,0.008355380297703106,0.009453874146093222
joint_drop_10_no_round_lut,DIV,2,1000000,0.008046854258642279,0.00837036270680888,0.009470447097754391
scale_drop_12,DIV,2,1000000,0.008104507733566886,0.008424307121170553,0.009532687568381092
residual_drop_12,DIV,2,1000000,0.008027592474379244,0.008357924591409069,0.009451228674069213
joint_drop_12_no_round_lut,DIV,2,1000000,0.008089444847368928,0.008418423486753118,0.009518136042948471
scale_drop_14,DIV,2,1000000,0.008326703241558042,0.008641381246607894,0.009774907653432155
residual_drop_14,DIV,2,1000000,0.008023255404790602,0.008378964694712167,0.0094541967296758
